label,text
1,"The objectives of the Project are to improve the quality of, and access to, tourism- relevant basic infrastructure and services, strengthen local economy linkages to tourism, and attract private investment in Selected Tourism Destinations in Indonesia."
0,Public Disclosure Authorized
0,OFFICIAL
0,DOCUMENTS
0,LOAN NUMBER 8861-ID
0,RECT
0,26 OCT 2018
0,BY:.
0,Loan Agreement
0,Integrated Infrastructure Development for National Tourism Strategic Areas (Indonesia Tourism Development Project)
0,Public Disclosure Authorized
0,between
0,REPUBLIC OF INDONESIA
0,and
0,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT
0,LOAN AGREEMENT
0,"AGREEMENT dated as of the Signature Date between REPUBLIC OF INDONESIA (“Borrower"") and INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT (“Bank”). The Borrower and the Bank hereby agree as follows:"
0,ARTICLE I — GENERAL CONDITIONS; DEFINITIONS
0,1.01. The General Conditions (as defined in the Appendix to this Agreement) apply to and form part of this Agreement.
0,"1.02. Unless the context requires otherwise, the capitalized terms used in this Agreement have the meanings ascribed to them in the General Conditions or in the Appendix to this Agreement."
0,ARTICLE II - LOAN
0,"2.01. The Bank agrees to lend to the Borrower the amount of three hundred million United States Dollars (USD 300,000,000), as such amount may be converted from time to time through a Currency Conversion (""Loan”), to assist in financing the project described in Schedule 1 to this Agreement (“Project”)."
0,2.02. The Borrower may withdraw the proceeds of the Loan in accordance with Section IV of Schedule 2 to this Agreement.
0,2.03. The Front-end Fee is one quarter of one percent (0.25%) of the Loan amount.
0,2.04. The Commitment Charge is one quarter of one percent (0.25%) per annum on the Unwithdrawn Loan Balance.
0,2.05. The interest rate is the Reference Rate plus the Variable Spread or such rate as may apply following a Conversion; subject to Section 3.02(e) of the General Conditions.
0,2.06. The Payment Dates are January 15 and July 15 in each year.
0,2.07. The principal amount of the Loan shall be repaid in accordance with Schedule 3 to this Agreement.
0,"2.08. (a) If on any given day, the Total Exposure exceeds the Standard Exposure Limit (as said terms are defined in sub-paragraphs (b)(ii) and (b)(iii) of this Section), the Borrower shall pay to the Bank a surcharge at the rate of one half of one percent (0.5%) per annum of the Allocated Excess Exposure Amount (as defined in sub-paragraph (b)(i) of this Section) for"
0,-2-
0,"each said day (“Exposure Surcharge""). The Exposure Surcharge (if any) shall be payable semi-annually in arrears on each Payment Date."
0,(b) For purposes of this Section the following terms have the meanings set forth below:
0,"(i) ""Allocated Excess Exposure Amount"" means for each day during which the Total Exposure exceeds the Standard Exposure Limit, the product of: (A) the total amount of said excess; and (B) the ratio of all (or, if the Bank so determines, a portion) of the Loan to the aggregate amount of all (or the equivalent portions) of the loans made by the Bank to the Borrower and to other borrowers guaranteed by the Borrower that are also subject to an exposure surcharge, as said excess and ratio are reasonably determined from time to time by the Bank."
0,"(ii) ""Standard Exposure Limit” means the standard limit on the Bank's financial exposure to the Borrower which, if exceeded, would subject the Loan to the Exposure Surcharge, as determined from time to time by the Bank."
0,"(iii) ""Total Exposure"" means for any given day, the Bank's total financial exposure to the Borrower, as reasonably determined by the Bank."
0,ARTICLE III - PROJECT
0,"3.01. The Borrower declares its commitment to the objectives of the Project. To this end, the Borrower shall carry out the Project through the Ministry of Public Works and Housing (MPWH), the Ministry of Tourism and the Indonesia Investment Coordinating Board in accordance with the provisions of Article V of the General Conditions and Schedule 2 to this Agreement."
0,ARTICLE IV EFFECTIVENESS; TERMINATION
